"fb_first";"tr_first";"fb_last";"tr_last"
"1";-1.6216395475102;0.102618996759489;-1.6467772700201;-1.36336778195789
"2";-2.6455963177585;-2.63960401623069;-2.840262617083;0.348807654292003
"3";-1.826514382892;-3.127845675326;-0.423181655679485;-1.079834874494
"4";-0.609697749926966;0.415927294464595;-1.2621782064618;0.222201920817895
"5";-2.82280648595831;-2.471567251214;-3.30805337057151;-4.1265400988316
"6";0.513128458926403;2.12922125367341;-2.20251867579054;-2.5162415387727
"7";-3.34472685084175;NA;-2.84978201093901;NA
"8";-0.862624056100998;-0.680837017643995;-0.444646362449504;-3.530661307766
"9";-1.57042787030075;-2.80173475270391;-2.0988309421422;-1.5760139208831
"10";-3.5894892370605;-3.077325647462;-1.17902932158199;-2.11879315258301
"11";-2.55744490140286;-0.9166724242247;-0.723691279027491;-0.695924246856009
"12";-0.634916455764909;-0.209009288917102;-0.662150962619492;-0.661925541938999
"13";-2.60113329205299;-1.12463475495099;-5.88686777422615;-4.10856529893201
"14";1.55127221077899;-0.462611194315002;-0.461524040939395;0.125227593006997
