"IQ","CP_avgOriginality","CA"
124.571647118817,1.747611532,110
111.313105558389,1.916540404,64
115.698623151453,1.83733164983333,52
111.97603263641,1.8796296295,6
112.078021417644,1.77314814816667,40
94.9694033656298,1.86526160316667,46
126.636919938807,1.8141915955,35
111.058133605303,1.87184343433333,16
103.332483426823,1.72118055566667,27
103.918918918919,1.93105158733333,7
106.698113207547,1.79626022133333,32
120.441101478837,1.88698743383333,53
116.4380418154,1.8741732805,103
118.656297807241,1.83194444433333,41
122.021927587965,1.91217948716667,48
104.836817950025,1.771481242,78
92.6491585925548,1.98736772483333,19
137.600713921469,1.970223064,140
115.902600713921,1.6981113215,42
125.7190209077,2.12367724866667,95
106.519632840388,1.85177696083333,22
106.417644059153,1.74951923066667,38
94.484956654768,2.07291666666667,32
99.5079041305456,1.775462963,85
111.772055073942,1.88376322766667,30
99.8393676695564,1.90225824983333,44
121.053034166242,1.94085012216667,35
100.706272310046,1.84636544016667,55
121.817950025497,1.96321653333333,85
101.063233044365,1.55006012516667,55
111.848546659867,1.9078927405,15
116.030086690464,1.77231469516667,23
120.798062213157,1.819966949,37
109.936257011729,1.87093253966667,19
103.612952575217,1.92670940166667,29
119.88016318205,2.0029484405,60
102.924528301887,1.78619528633333,26
106.774604793473,1.83877840916667,52
108.278939316675,1.8523065475,18
98.9214686384498,1.86773705116667,53
71.8179500254972,1.7231248055,62
92.7001529831718,1.91608796283333,19
125.973992860785,2.152281746,84
108.431922488526,1.76527777783333,30
106.749107598164,2.06630379416667,16
107.743498215196,1.87102163466667,118
100.80826109128,1.73933172316667,58
130.53799082101,1.88017065183333,38
105.372259051504,1.72087530533333,74
107.004079551249,1.72304656866667,27
115.265170831209,1.92632994716667,10
NA,1.76388888883333,NA
114.423763386028,1.7550213675,14
99.6353901070882,1.76420304233333,16
137.626211116777,1.95143515916667,38
67.4069352371239,1.8816964285,1
79.9005609382968,1.47083333333333,0
104.377868434472,1.80517519766667,157
101.241713411525,1.79575517083333,5
89.6659867414584,1.70479797966667,6
75.1580826109128,1.82824074083333,4
98.7429882712902,1.76810786683333,34
87.4732279449261,1.75195673583333,2
108.559408465069,1.91787749283333,24
93.1081081081081,1.7179473305,81
121.843447220806,1.73133417516667,18
118.758286588475,2.123015873,18
105.9586945436,1.90696509383333,21
129.314125446201,1.83436209933333,9
105.703722590515,2.162292885,72
107.106068332483,1.8802274115,127
117.916879143294,1.76482259566667,13
108.380928097909,1.86332799133333,66
106.162672106068,1.67728462166667,21
96.4227434982152,1.85404040416667,9
114.474757776645,1.96369949483333,87
90.4563997960224,1.7543512075,0
106.545130035696,1.8429889555,25
114.398266190719,1.77067857583333,37
104.58184599694,1.67060185183333,7
100.655277919429,1.68861417666667,62
80.8949515553289,1.68005952383333,32
120.874553799082,1.709421597,17
104.734829168791,1.74721320366667,42
119.727180010199,1.71436569633333,33
99.4569097399286,1.81857638883333,2
105.703722590515,1.98711870883333,43
111.568077511474,1.6755096485,62
123.14380418154,1.5949728635,13
115.035696073432,1.7422011165,32
105.601733809281,1.74489121983333,8
120.084140744518,1.8976279355,100
