"fb_first_pos";"tr_first_pos";"fb_first_neg";"tr_first_neg";"fb_last_pos";"tr_last_pos";"fb_last_neg";"tr_last_neg"
"1";84.8714285714286;86.4;86.4890350877193;86.45;83.25;84.75;83.9193548387097;86.2560483870968
"2";77.4171052631579;78.6710526315789;79.4894736842106;80.7;71.8759920634921;71.9464285714286;73.3160282258064;72.2696908602151
"3";64.15;63.15;65.125;64.25;67.375;67;67.65625;67.383064516129
"4";81.7697368421053;82.6285714285714;81.85;81.5473684210526;78.625;79.375;79.78125;78.75
"5";75.0184210526316;74.1631578947368;77.225;76.35;74.3194444444445;75.625;76.8805443548387;78.65625
"6";107.334210526316;108.222222222222;106.663157894737;108.039473684211;88.1130952380952;88.3928571428572;88.6844671658986;88.7066810344828
"7";82.6941520467836;80.993156641604;85.0785087719298;81.5361315789474;72.2083333333333;75.3876785714286;74.2925913051539;75.7867651515151
"8";73.025;73.0210526315789;73.7881578947369;74.05;70.5;68.75;70.232481060606;69.9576612903226
"9";89.2644736842105;87.4;90.9;89.85;88.875;89.125;90.6018145161291;90.9102822580645
"10";67.2845238095238;67.5;69.3800751879699;69.45;68.2946428571428;69.5357142857143;68.7439057917889;70.0916666666667
"11";82.4241228070176;82.9;83.159022556391;83.35;72.7946428571428;73.375;73.7227822580645;74.3549853372434
"12";79.8302631578947;78.5593984962406;80.4;79.2605263157895;77;77.125;77.3115530303031;76.6673387096774
"13";72.9;72.552380952381;74.8;73.7605263157895;73.0625;70.875;77.734375;73.6875
"14";75.2552631578947;74.1921052631579;74.5312865497076;75.275;84.375;85.075;85.0990907556015;85.2379032258064
