Row;fb1_first_pos;tr_first_pos;fb2_first_pos;fb1_first_neg;tr_first_neg;fb2_first_neg;fb1_last_pos;tr_last_pos;fb2_last_pos;fb1_last_neg;tr_last_neg;fb2_last_neg
Vp1;90.2086755501183;89.4443515730703;93.06471466871;88.9563417834859;89.5469705698298;91.073769340322;91.7293204525293;91.4521727901481;98.2540776601241;91.6612669970254;90.0888050081902;95.0285765755878
Vp2;99.1431948964212;98.0188745497283;100.629418622731;95.7441038923465;95.3792705334976;98.7373169912887;107.495281512268;107.112803470602;109.346777125307;105.554485579344;107.461611124894;105.607047824065
Vp3;119.860278492089;123.833687709673;123.449842684932;117.108727341821;120.705842034347;122.548365069416;114.290983168496;115.449543675594;114.597721168416;112.794756809795;114.3697088011;115.247584215758
Vp4;95.1130103809682;94.4765246357762;96.0848290531806;94.6761920076181;94.8924519302408;95.3022519266768;96.5052957463557;97.2691876488808;99.7166771316518;95.7471048457562;97.4913895696987;97.9505116193277
Vp5;101.495311006176;104.13605760068;104.999680148686;99.8502591926784;101.664490349466;100.999118990267;103.2077588704;102.574875792689;104.980297800472;100.441736998235;98.4483356938574;101.130212931494
Vp6;76.22139218337;76.2610737008813;75.7085277462445;78.4645352784278;78.3902949545547;74.4916415690395;91.9473116584054;91.6250005752009;89.7730301916413;88.7455878384682;89.1087590364282;88.5697166599974
Vp7;91.1213649844339;NaN;97.7601981165451;88.6143337973951;NaN;93.5777756019004;104.937390573491;NaN;110.415939106144;101.833374860246;NaN;107.820390797511
Vp8;106.203665756088;105.67586260786;105.136919819356;105.157169023814;104.995025590216;104.458168439428;109.832393175296;114.256033912008;111.438871574265;109.954968153517;110.725372604242;110.427003871145
Vp9;85.9637919617935;88.6634272696352;87.658601924658;85.0471595642993;85.8616925169313;85.4343785815507;87.9955967304473;87.2224656194621;86.8960712065359;85.965459103947;85.646451698579;84.7285469487518
Vp10;114.611910864369;113.954443166679;115.407983838996;111.437735394994;110.877117519217;111.40318083425;114.777430743965;112.489746661205;112.618818097319;113.668937387706;110.370953508622;111.369252810414
Vp12;96.3079336837312;93.5309678265192;94.3120892294134;91.7918944424428;92.6142954022945;93.7132386678961;105.111401061708;105.263972758939;105.968185751189;103.994920196905;104.568048512083;105.637284057937
Vp13;97.6330449970447;98.8614589384358;97.6000898134992;97.1236267316613;98.6524496495187;96.8396751673528;101.702169983531;101.876866012274;101.117786002874;101.252534701418;101.214940470335;100.243119359748
Vp14;106.696956734067;106.973272104956;107.60999583366;104.13237612122;105.848637350005;104.972309862401;104.278320449358;108.818007836765;110.231881404326;98.2087085785027;104.709442537833;104.527757726729
Vp15;102.767237091639;105.927130278346;107.47219719071;105.987507695786;105.464519084031;107.354471008121;92.1964160737073;90.7359371407053;91.4459118420984;91.3893026206011;90.8611647337123;91.3299772133258
