id;Factor;Power;Time;ROI;Frequency;Eyes
8;THETA_aucp_POST_EO_parietotemporalPURE;0.0892;Post;Parietotemporal;Theta;EO
9;THETA_aucp_POST_EO_parietotemporalPURE;0.1247;Post;Parietotemporal;Theta;EO
10;THETA_aucp_POST_EO_parietotemporalPURE;0.163;Post;Parietotemporal;Theta;EO
11;THETA_aucp_POST_EO_parietotemporalPURE;0.133725;Post;Parietotemporal;Theta;EO
12;THETA_aucp_POST_EO_parietotemporalPURE;0.170725;Post;Parietotemporal;Theta;EO
13;THETA_aucp_POST_EO_parietotemporalPURE;0.1804;Post;Parietotemporal;Theta;EO
14;THETA_aucp_POST_EO_parietotemporalPURE;0.17225;Post;Parietotemporal;Theta;EO
1;DELTA_aucp_PRE_EO_parietotemporalPURE;0.216975;Pre;Parietotemporal;Delta;EO
2;DELTA_aucp_PRE_EO_parietotemporalPURE;0.16065;Pre;Parietotemporal;Delta;EO
3;DELTA_aucp_PRE_EO_parietotemporalPURE;0.23725;Pre;Parietotemporal;Delta;EO
4;DELTA_aucp_PRE_EO_parietotemporalPURE;0.1893;Pre;Parietotemporal;Delta;EO
5;DELTA_aucp_PRE_EO_parietotemporalPURE;0.178675;Pre;Parietotemporal;Delta;EO
6;DELTA_aucp_PRE_EO_parietotemporalPURE;0.17555;Pre;Parietotemporal;Delta;EO
7;DELTA_aucp_PRE_EO_parietotemporalPURE;0.247975;Pre;Parietotemporal;Delta;EO
8;DELTA_aucp_PRE_EO_parietotemporalPURE;0.22125;Pre;Parietotemporal;Delta;EO
9;DELTA_aucp_PRE_EO_parietotemporalPURE;0.191625;Pre;Parietotemporal;Delta;EO
10;DELTA_aucp_PRE_EO_parietotemporalPURE;0.22155;Pre;Parietotemporal;Delta;EO
11;DELTA_aucp_PRE_EO_parietotemporalPURE;0.17265;Pre;Parietotemporal;Delta;EO
12;DELTA_aucp_PRE_EO_parietotemporalPURE;0.159175;Pre;Parietotemporal;Delta;EO
13;DELTA_aucp_PRE_EO_parietotemporalPURE;0.1641;Pre;Parietotemporal;Delta;EO
14;DELTA_aucp_PRE_EO_parietotemporalPURE;0.212825;Pre;Parietotemporal;Delta;EO
1;DELTA_aucp_POST_EO_parietotemporalPURE;0.20095;Post;Parietotemporal;Delta;EO
2;DELTA_aucp_POST_EO_parietotemporalPURE;0.130775;Post;Parietotemporal;Delta;EO
3;DELTA_aucp_POST_EO_parietotemporalPURE;0.240075;Post;Parietotemporal;Delta;EO
4;DELTA_aucp_POST_EO_parietotemporalPURE;0.15025;Post;Parietotemporal;Delta;EO
5;DELTA_aucp_POST_EO_parietotemporalPURE;0.15975;Post;Parietotemporal;Delta;EO
6;DELTA_aucp_POST_EO_parietotemporalPURE;0.131;Post;Parietotemporal;Delta;EO
7;DELTA_aucp_POST_EO_parietotemporalPURE;0.248575;Post;Parietotemporal;Delta;EO
8;DELTA_aucp_POST_EO_parietotemporalPURE;0.18100000000000002;Post;Parietotemporal;Delta;EO
9;DELTA_aucp_POST_EO_parietotemporalPURE;0.1871;Post;Parietotemporal;Delta;EO
10;DELTA_aucp_POST_EO_parietotemporalPURE;0.2255;Post;Parietotemporal;Delta;EO
11;DELTA_aucp_POST_EO_parietotemporalPURE;0.152475;Post;Parietotemporal;Delta;EO
12;DELTA_aucp_POST_EO_parietotemporalPURE;0.1739;Post;Parietotemporal;Delta;EO
13;DELTA_aucp_POST_EO_parietotemporalPURE;0.153625;Post;Parietotemporal;Delta;EO
14;DELTA_aucp_POST_EO_parietotemporalPURE;0.180975;Post;Parietotemporal;Delta;EO
