,SUBJECTINDEX,age,answer,catch,category,dataset_nr,end,filenumber,fix,on_image,patchpos,start,trial,valid,mean_x,mean_y
316,1.0,2.0,1.0,0.0,8.0,0.0,1549.0,7.0,6.0,1.0,268.0,1015.0,19.0,1.0,671.1168,172.16664
317,1.0,2.0,1.0,0.0,8.0,0.0,1893.0,7.0,7.0,1.0,681.0,1601.0,19.0,1.0,484.9481,673.8546
318,1.0,2.0,1.0,0.0,8.0,0.0,2123.0,7.0,8.0,1.0,268.0,1925.0,19.0,1.0,422.6549,765.9382
319,1.0,2.0,1.0,0.0,8.0,0.0,2521.0,7.0,9.0,1.0,681.0,2185.0,19.0,1.0,841.49664,844.6879
320,1.0,2.0,1.0,0.0,8.0,0.0,3135.0,7.0,10.0,1.0,268.0,2557.0,19.0,1.0,1109.9867,804.98016
321,1.0,2.0,1.0,0.0,8.0,0.0,3559.0,7.0,11.0,1.0,681.0,3171.0,19.0,1.0,967.8612,779.7338
322,1.0,2.0,1.0,0.0,8.0,0.0,3865.0,7.0,12.0,1.0,268.0,3627.0,19.0,1.0,326.79224,759.17456
323,1.0,2.0,1.0,0.0,8.0,0.0,4059.0,7.0,13.0,1.0,681.0,3897.0,19.0,1.0,219.01428,723.10455
324,1.0,2.0,1.0,0.0,8.0,0.0,4289.0,7.0,14.0,1.0,268.0,4099.0,19.0,1.0,255.61919,538.82465
325,1.0,2.0,1.0,0.0,8.0,0.0,4617.0,7.0,15.0,1.0,681.0,4351.0,19.0,1.0,639.6122,498.51465
326,1.0,2.0,1.0,0.0,8.0,0.0,5169.0,7.0,16.0,1.0,268.0,4659.0,19.0,1.0,755.9375,649.5839
327,1.0,2.0,1.0,0.0,8.0,0.0,354.0,50.0,1.0,1.0,681.0,222.0,20.0,1.0,648.3073,283.1319
328,1.0,2.0,1.0,0.0,8.0,0.0,478.0,50.0,2.0,1.0,268.0,402.0,20.0,1.0,998.06866,277.73053
329,1.0,2.0,1.0,0.0,8.0,0.0,822.0,50.0,3.0,1.0,681.0,508.0,20.0,1.0,1081.1036,183.3965
330,1.0,2.0,1.0,0.0,8.0,0.0,1114.0,50.0,4.0,1.0,268.0,866.0,20.0,1.0,1142.5027,477.77615
331,1.0,2.0,1.0,0.0,8.0,0.0,1822.0,50.0,5.0,1.0,681.0,1156.0,20.0,1.0,1126.8508,761.95557
332,1.0,2.0,1.0,0.0,8.0,0.0,2068.0,50.0,6.0,1.0,268.0,1844.0,20.0,1.0,1068.7253,774.8414
333,1.0,2.0,1.0,0.0,8.0,0.0,2434.0,50.0,7.0,1.0,681.0,2106.0,20.0,1.0,1141.7944,600.8939
334,1.0,2.0,1.0,0.0,8.0,0.0,2972.0,50.0,8.0,1.0,268.0,2458.0,20.0,1.0,1150.1461,549.57587
335,1.0,2.0,1.0,0.0,8.0,0.0,3120.0,50.0,9.0,1.0,681.0,3014.0,20.0,1.0,1208.25,340.84354
336,1.0,2.0,1.0,0.0,8.0,0.0,3432.0,50.0,10.0,1.0,268.0,3144.0,20.0,1.0,1233.0602,280.39725
337,1.0,2.0,1.0,0.0,8.0,0.0,3706.0,50.0,11.0,1.0,681.0,3482.0,20.0,1.0,938.1782,67.372215
338,1.0,2.0,1.0,0.0,8.0,0.0,3922.0,50.0,12.0,1.0,268.0,3726.0,20.0,1.0,992.94995,45.55947
339,1.0,2.0,1.0,0.0,8.0,0.0,4132.0,50.0,13.0,1.0,681.0,3986.0,20.0,1.0,395.85043,309.2487
340,1.0,2.0,1.0,0.0,8.0,0.0,4356.0,50.0,14.0,1.0,268.0,4190.0,20.0,1.0,156.2152,455.10284
341,1.0,2.0,1.0,0.0,8.0,0.0,4606.0,50.0,15.0,1.0,681.0,4426.0,20.0,1.0,85.0058,706.22235
342,1.0,2.0,1.0,0.0,8.0,0.0,4854.0,50.0,16.0,1.0,268.0,4680.0,20.0,1.0,478.60754,795.32684
343,1.0,2.0,1.0,0.0,8.0,0.0,5024.0,50.0,17.0,1.0,681.0,4910.0,20.0,1.0,731.84845,850.0781
376,1.0,2.0,1.0,0.0,8.0,0.0,582.0,41.0,1.0,1.0,464.0,348.0,23.0,1.0,994.6166,355.70023
377,1.0,2.0,1.0,0.0,8.0,0.0,850.0,41.0,2.0,1.0,842.0,622.0,23.0,1.0,848.6981,269.48175
378,1.0,2.0,1.0,0.0,8.0,0.0,1176.0,41.0,3.0,1.0,464.0,932.0,23.0,1.0,436.7906,354.5115
379,1.0,2.0,1.0,0.0,8.0,0.0,1322.0,41.0,4.0,1.0,842.0,1206.0,23.0,1.0,351.25436,375.06668
380,1.0,2.0,1.0,0.0,8.0,0.0,1506.0,41.0,5.0,1.0,464.0,1384.0,23.0,1.0,714.44336,321.18262
381,1.0,2.0,1.0,0.0,8.0,0.0,1834.0,41.0,6.0,1.0,842.0,1546.0,23.0,1.0,886.82074,283.37305
382,1.0,2.0,1.0,0.0,8.0,0.0,2026.0,41.0,7.0,1.0,821.0,1854.0,23.0,1.0,916.06464,239.39536
383,1.0,2.0,1.0,0.0,8.0,0.0,2282.0,41.0,8.0,1.0,628.0,2088.0,23.0,1.0,673.54895,119.40379
384,1.0,2.0,1.0,0.0,8.0,0.0,2550.0,41.0,9.0,1.0,821.0,2336.0,23.0,1.0,282.8613,106.62868
385,1.0,2.0,1.0,0.0,8.0,0.0,2876.0,41.0,10.0,1.0,628.0,2578.0,23.0,1.0,214.20786,103.70994
386,1.0,2.0,1.0,0.0,8.0,0.0,3138.0,41.0,11.0,1.0,821.0,2900.0,23.0,1.0,135.1588,96.29358
387,1.0,2.0,1.0,0.0,8.0,0.0,3474.0,41.0,12.0,1.0,628.0,3152.0,23.0,1.0,105.89316,94.20029
388,1.0,2.0,1.0,0.0,8.0,0.0,3758.0,41.0,13.0,1.0,821.0,3562.0,23.0,1.0,1087.0431,177.72559
389,1.0,2.0,1.0,0.0,8.0,0.0,4194.0,41.0,14.0,1.0,628.0,3784.0,23.0,1.0,1145.5643,135.5187
390,1.0,2.0,1.0,0.0,8.0,0.0,4580.0,41.0,15.0,1.0,821.0,4220.0,23.0,1.0,1071.6686,109.623825
391,1.0,2.0,1.0,0.0,8.0,0.0,4756.0,41.0,16.0,1.0,628.0,4652.0,23.0,1.0,1151.3153,439.644
392,1.0,2.0,1.0,0.0,8.0,0.0,5016.0,41.0,17.0,1.0,821.0,4802.0,23.0,1.0,1022.94653,833.66986
393,1.0,2.0,1.0,0.0,8.0,0.0,297.0,29.0,1.0,1.0,628.0,41.0,24.0,1.0,574.58014,110.16592
394,1.0,2.0,1.0,0.0,8.0,0.0,549.0,29.0,2.0,1.0,821.0,329.0,24.0,1.0,448.99222,105.86861
395,1.0,2.0,1.0,0.0,8.0,0.0,753.0,29.0,3.0,1.0,628.0,583.0,24.0,1.0,293.36057,81.26905
396,1.0,2.0,1.0,0.0,8.0,0.0,1067.0,29.0,4.0,1.0,821.0,811.0,24.0,1.0,460.92578,494.27582
397,1.0,2.0,1.0,0.0,8.0,0.0,1365.0,29.0,5.0,1.0,628.0,1143.0,24.0,1.0,310.90204,669.9057
398,1.0,2.0,1.0,0.0,8.0,0.0,1617.0,29.0,6.0,1.0,821.0,1399.0,24.0,1.0,383.2574,548.8099
399,1.0,2.0,1.0,0.0,8.0,0.0,1835.0,29.0,7.0,1.0,628.0,1677.0,24.0,1.0,669.97034,545.89246
400,1.0,2.0,1.0,0.0,8.0,0.0,2063.0,29.0,8.0,1.0,821.0,1871.0,24.0,1.0,536.4635,641.58997
401,1.0,2.0,1.0,0.0,8.0,0.0,2399.0,29.0,9.0,1.0,628.0,2105.0,24.0,1.0,281.5548,646.0484
402,1.0,2.0,1.0,0.0,8.0,0.0,2763.0,29.0,10.0,1.0,821.0,2487.0,24.0,1.0,1081.384,199.54561
403,1.0,2.0,1.0,0.0,8.0,0.0,2949.0,29.0,11.0,1.0,628.0,2809.0,24.0,1.0,854.57086,139.03421
404,1.0,2.0,1.0,0.0,8.0,0.0,3251.0,29.0,12.0,1.0,821.0,2981.0,24.0,1.0,748.4403,37.373676
405,1.0,2.0,1.0,0.0,8.0,0.0,3509.0,29.0,13.0,1.0,628.0,3335.0,24.0,1.0,289.2083,134.55742
406,1.0,2.0,1.0,0.0,8.0,0.0,3761.0,29.0,14.0,1.0,821.0,3585.0,24.0,1.0,771.101,98.244545
407,1.0,2.0,1.0,0.0,8.0,0.0,4103.0,29.0,15.0,1.0,628.0,3845.0,24.0,1.0,1188.4377,252.13808
408,1.0,2.0,1.0,0.0,8.0,0.0,4267.0,29.0,16.0,1.0,821.0,4133.0,24.0,1.0,1163.5228,378.68762
409,1.0,2.0,1.0,0.0,8.0,0.0,4547.0,29.0,17.0,1.0,628.0,4289.0,24.0,1.0,1147.971,460.9451
410,1.0,2.0,1.0,0.0,8.0,0.0,4829.0,29.0,18.0,1.0,821.0,4627.0,24.0,1.0,214.56839,657.1915
411,1.0,2.0,1.0,0.0,8.0,0.0,5121.0,29.0,19.0,1.0,628.0,4859.0,24.0,1.0,123.79017,672.8482
484,1.0,2.0,1.0,0.0,8.0,0.0,369.0,11.0,1.0,1.0,674.0,175.0,30.0,1.0,502.8038,193.85258
485,1.0,2.0,1.0,0.0,8.0,0.0,627.0,11.0,2.0,1.0,511.0,443.0,30.0,1.0,581.9166,541.045
486,1.0,2.0,1.0,0.0,8.0,0.0,815.0,11.0,3.0,1.0,674.0,665.0,30.0,1.0,412.60126,536.681
487,1.0,2.0,1.0,0.0,8.0,0.0,941.0,11.0,4.0,1.0,511.0,851.0,30.0,1.0,306.59488,632.97614
488,1.0,2.0,1.0,0.0,8.0,0.0,1293.0,11.0,5.0,1.0,674.0,997.0,30.0,1.0,589.03595,766.322
489,1.0,2.0,1.0,0.0,8.0,0.0,1565.0,11.0,6.0,1.0,511.0,1307.0,30.0,1.0,591.921,734.37305
490,1.0,2.0,1.0,0.0,8.0,0.0,1775.0,11.0,7.0,1.0,674.0,1587.0,30.0,1.0,535.51117,710.1217
491,1.0,2.0,1.0,0.0,8.0,0.0,1925.0,11.0,8.0,1.0,511.0,1817.0,30.0,1.0,313.5336,622.6725
492,1.0,2.0,1.0,0.0,8.0,0.0,2123.0,11.0,9.0,1.0,674.0,1981.0,30.0,1.0,745.35156,491.3217
493,1.0,2.0,1.0,0.0,8.0,0.0,2337.0,11.0,10.0,1.0,511.0,2161.0,30.0,1.0,909.8253,372.1854
494,1.0,2.0,1.0,0.0,8.0,0.0,2533.0,11.0,11.0,1.0,674.0,2361.0,30.0,1.0,966.21063,317.14032
495,1.0,2.0,1.0,0.0,8.0,0.0,2721.0,11.0,12.0,1.0,511.0,2563.0,30.0,1.0,968.76245,201.60231
496,1.0,2.0,1.0,0.0,8.0,0.0,2979.0,11.0,13.0,1.0,674.0,2783.0,30.0,1.0,618.926,179.77527
497,1.0,2.0,1.0,0.0,8.0,0.0,3231.0,11.0,14.0,1.0,511.0,3025.0,30.0,1.0,392.74622,158.55705
498,1.0,2.0,1.0,0.0,8.0,0.0,3507.0,11.0,15.0,1.0,674.0,3293.0,30.0,1.0,739.1883,211.7285
499,1.0,2.0,1.0,0.0,8.0,0.0,3711.0,11.0,16.0,1.0,511.0,3561.0,30.0,1.0,523.2979,194.20367
500,1.0,2.0,1.0,0.0,8.0,0.0,3983.0,11.0,17.0,1.0,674.0,3725.0,30.0,1.0,549.94794,191.80687
501,1.0,2.0,1.0,0.0,8.0,0.0,4195.0,11.0,18.0,1.0,511.0,4041.0,30.0,1.0,775.96094,213.17296
502,1.0,2.0,1.0,0.0,8.0,0.0,4355.0,11.0,19.0,1.0,674.0,4231.0,30.0,1.0,918.2256,225.04335
503,1.0,2.0,1.0,0.0,8.0,0.0,4585.0,11.0,20.0,1.0,511.0,4409.0,30.0,1.0,1130.1743,246.84222
504,1.0,2.0,1.0,0.0,8.0,0.0,4753.0,11.0,21.0,1.0,674.0,4613.0,30.0,1.0,1223.3383,272.56326
505,1.0,2.0,1.0,0.0,8.0,0.0,4995.0,11.0,22.0,1.0,511.0,4781.0,30.0,1.0,1162.8989,341.90356
570,1.0,2.0,0.0,1.0,8.0,0.0,592.0,34.0,1.0,1.0,590.0,316.0,35.0,1.0,827.45526,369.71927
571,1.0,2.0,0.0,1.0,8.0,0.0,852.0,34.0,2.0,1.0,499.0,634.0,35.0,1.0,1033.6698,478.77496
572,1.0,2.0,0.0,1.0,8.0,0.0,1180.0,34.0,3.0,1.0,590.0,884.0,35.0,1.0,1119.7976,474.50034
573,1.0,2.0,0.0,1.0,8.0,0.0,1368.0,34.0,4.0,1.0,499.0,1214.0,35.0,1.0,984.8857,480.8536
574,1.0,2.0,0.0,1.0,8.0,0.0,1594.0,34.0,5.0,1.0,590.0,1442.0,35.0,1.0,254.79366,465.61215
575,1.0,2.0,0.0,1.0,8.0,0.0,1960.0,34.0,6.0,1.0,499.0,1628.0,35.0,1.0,100.85197,431.51825
576,1.0,2.0,0.0,1.0,8.0,0.0,2342.0,34.0,7.0,1.0,590.0,2032.0,35.0,1.0,956.592,437.9304
577,1.0,2.0,0.0,1.0,8.0,0.0,2614.0,34.0,8.0,1.0,499.0,2370.0,35.0,1.0,907.5032,337.02628
578,1.0,2.0,0.0,1.0,8.0,0.0,2950.0,34.0,9.0,1.0,590.0,2646.0,35.0,1.0,803.7583,321.82648
579,1.0,2.0,0.0,1.0,8.0,0.0,3188.0,34.0,10.0,1.0,499.0,3024.0,35.0,1.0,690.4249,816.5163
580,1.0,2.0,0.0,1.0,8.0,0.0,3612.0,34.0,11.0,1.0,590.0,3232.0,35.0,1.0,931.21124,806.4508
581,1.0,2.0,0.0,1.0,8.0,0.0,3912.0,34.0,12.0,1.0,499.0,3688.0,35.0,1.0,236.1208,838.6985
582,1.0,2.0,0.0,1.0,8.0,0.0,4080.0,34.0,13.0,1.0,590.0,3938.0,35.0,1.0,133.6481,830.05145
583,1.0,2.0,0.0,1.0,8.0,0.0,4308.0,34.0,14.0,1.0,499.0,4130.0,35.0,1.0,104.18864,475.2717
584,1.0,2.0,0.0,1.0,8.0,0.0,4584.0,34.0,15.0,1.0,590.0,4330.0,35.0,1.0,66.1991,433.04025
585,1.0,2.0,0.0,1.0,8.0,0.0,4748.0,34.0,16.0,1.0,499.0,4602.0,35.0,1.0,35.611183,416.82092
586,1.0,2.0,0.0,1.0,8.0,0.0,5006.0,34.0,17.0,1.0,590.0,4804.0,35.0,1.0,285.9935,429.234
589,1.0,2.0,1.0,0.0,8.0,0.0,358.0,12.0,1.0,1.0,499.0,176.0,37.0,1.0,643.8563,251.43971
590,1.0,2.0,1.0,0.0,8.0,0.0,592.0,12.0,2.0,1.0,662.0,398.0,37.0,1.0,819.861,254.37659
591,1.0,2.0,1.0,0.0,8.0,0.0,1102.0,12.0,3.0,1.0,417.0,628.0,37.0,1.0,928.4205,314.59772
592,1.0,2.0,1.0,0.0,8.0,0.0,1350.0,12.0,4.0,1.0,662.0,1136.0,37.0,1.0,942.8479,481.04645
593,1.0,2.0,1.0,0.0,8.0,0.0,1482.0,12.0,5.0,1.0,417.0,1392.0,37.0,1.0,1144.0411,499.597
594,1.0,2.0,1.0,0.0,8.0,0.0,1650.0,12.0,6.0,1.0,662.0,1528.0,37.0,1.0,814.21405,804.87885
595,1.0,2.0,1.0,0.0,8.0,0.0,1900.0,12.0,7.0,1.0,417.0,1712.0,37.0,1.0,291.16324,777.4484
596,1.0,2.0,1.0,0.0,8.0,0.0,2076.0,12.0,8.0,1.0,662.0,1932.0,37.0,1.0,137.56592,675.1037
597,1.0,2.0,1.0,0.0,8.0,0.0,2188.0,12.0,9.0,1.0,417.0,2100.0,37.0,1.0,119.80474,619.1678
598,1.0,2.0,1.0,0.0,8.0,0.0,2572.0,12.0,10.0,1.0,662.0,2252.0,37.0,1.0,177.07954,160.48431
599,1.0,2.0,1.0,0.0,8.0,0.0,2776.0,12.0,11.0,1.0,417.0,2594.0,37.0,1.0,127.45617,175.56529
600,1.0,2.0,1.0,0.0,8.0,0.0,2912.0,12.0,12.0,1.0,662.0,2846.0,37.0,1.0,455.72812,191.43924
601,1.0,2.0,1.0,0.0,8.0,0.0,3156.0,12.0,13.0,1.0,417.0,2966.0,37.0,1.0,796.1534,76.86861
602,1.0,2.0,1.0,0.0,8.0,0.0,3400.0,12.0,14.0,1.0,662.0,3182.0,37.0,1.0,870.1474,53.12004
603,1.0,2.0,1.0,0.0,8.0,0.0,3630.0,12.0,15.0,1.0,417.0,3454.0,37.0,1.0,1093.3759,96.25626
604,1.0,2.0,1.0,0.0,8.0,0.0,3906.0,12.0,16.0,1.0,662.0,3668.0,37.0,1.0,1203.5603,218.70601
605,1.0,2.0,1.0,0.0,8.0,0.0,4164.0,12.0,17.0,1.0,417.0,3924.0,37.0,1.0,1220.8937,172.68417
606,1.0,2.0,1.0,0.0,8.0,0.0,4362.0,12.0,18.0,1.0,662.0,4216.0,37.0,1.0,1192.825,411.92435
